#pas_grille;500.000000
#nom_grille;grille_PPcalageIGN121129_translate_RGF93v2
001974000192;987000.000000;96000.000000
001974000193;987000.000000;96500.000000
001974000194;987000.000000;97000.000000
001974000195;987000.000000;97500.000000
001974000196;987000.000000;98000.000000
001974000197;987000.000000;98500.000000
001974000198;987000.000000;99000.000000
001974000199;987000.000000;99500.000000
001974000200;987000.000000;100000.000000
001974000201;987000.000000;100500.000000
001974000202;987000.000000;101000.000000
001974000203;987000.000000;101500.000000
001974000204;987000.000000;102000.000000
001974000205;987000.000000;102500.000000
001974000206;987000.000000;103000.000000
001974000207;987000.000000;103500.000000
001974000208;987000.000000;104000.000000
001974000209;987000.000000;104500.000000
001974000210;987000.000000;105000.000000
001974000211;987000.000000;105500.000000
001974000212;987000.000000;106000.000000
001974000213;987000.000000;106500.000000
001974000214;987000.000000;107000.000000
001974000215;987000.000000;107500.000000
001974000216;987000.000000;108000.000000
001974000217;987000.000000;108500.000000
001974000218;987000.000000;109000.000000
001974000219;987000.000000;109500.000000
001974000220;987000.000000;110000.000000
001974000221;987000.000000;110500.000000
001974000222;987000.000000;111000.000000
001974000223;987000.000000;111500.000000
001974000224;987000.000000;112000.000000
001974000225;987000.000000;112500.000000
001974000226;987000.000000;113000.000000
001974000227;987000.000000;113500.000000
001974000228;987000.000000;114000.000000
001974000229;987000.000000;114500.000000
001974000230;987000.000000;115000.000000
001974000231;987000.000000;115500.000000
001974000232;987000.000000;116000.000000
001974000233;987000.000000;116500.000000
001974000234;987000.000000;117000.000000
001974000235;987000.000000;117500.000000
001974000236;987000.000000;118000.000000
001974000237;987000.000000;118500.000000
001974000238;987000.000000;119000.000000
001974000239;987000.000000;119500.000000
001974000240;987000.000000;120000.000000
001974000241;987000.000000;120500.000000
001974000242;987000.000000;121000.000000
001974000243;987000.000000;121500.000000
001974000244;987000.000000;122000.000000
001974000245;987000.000000;122500.000000
001974000246;987000.000000;123000.000000
001974000247;987000.000000;123500.000000
001974000248;987000.000000;124000.000000
001974000249;987000.000000;124500.000000
001974000250;987000.000000;125000.000000
001974000251;987000.000000;125500.000000
001974000252;987000.000000;126000.000000
001974000253;987000.000000;126500.000000
001974000254;987000.000000;127000.000000
001974000255;987000.000000;127500.000000
001974000256;987000.000000;128000.000000
001975000192;987500.000000;96000.000000
001975000193;987499.990614;96499.985953
001975000194;987499.984139;96999.980618
001975000195;987499.981320;97499.975916
001975000196;987499.983535;97999.972773
001975000197;987499.980373;98499.970809
001975000198;987499.972724;98999.962365
001975000199;987499.972153;99499.957069
001975000200;987499.980510;99999.954136
001975000201;987499.985043;100499.954973
001975000202;987499.983748;100999.948868
001975000203;987499.986127;101499.945858
001975000204;987499.994871;101999.939922
001975000205;987500.001164;102499.943457
001975000206;987500.000521;102999.950521
001975000207;987500.001351;103499.964350
001975000208;987500.008635;103999.970641
001975000209;987500.016709;104499.975817
001975000210;987500.016286;104999.981402
001975000211;987500.011108;105499.988170
001975000212;987500.008039;105999.991108
001975000213;987500.009365;106499.993402
001975000214;987500.009101;106999.996792
001975000215;987500.005945;107500.001214
001975000216;987500.002060;108000.005065
001975000217;987499.999751;108500.007745
001975000218;987499.998397;109000.010102
001975000219;987499.997509;109500.010925
001975000220;987499.995788;110000.012530
001975000221;987499.994991;110500.012517
001975000222;987499.997542;111000.011732
001975000223;987500.001157;111500.009881
001975000224;987500.003631;112000.007923
001975000225;987500.006574;112500.005421
001975000226;987500.010248;113000.004371
001975000227;987500.011090;113500.002908
001975000228;987500.010759;113999.999158
001975000229;987500.011583;114499.996341
001975000230;987500.011173;114999.997523
001975000231;987500.007681;115500.000049
001975000232;987500.004045;116000.001637
001975000233;987500.002995;116500.003043
001975000234;987500.003388;117000.005310
001975000235;987500.003594;117500.006539
001975000236;987500.003498;118000.006624
001975000237;987500.005066;118500.006046
001975000238;987500.007876;119000.006851
001975000239;987500.008910;119500.007023
001975000240;987500.009023;120000.005162
001975000241;987500.011411;120500.002985
001975000242;987500.014438;121000.003633
001975000243;987500.014131;121500.003965
001975000244;987500.013471;122000.000840
001975000245;987500.016182;122499.997609
001975000246;987500.018773;122999.998035
001975000247;987500.017083;123499.998624
001975000248;987500.015991;123999.994797
001975000249;987500.018839;124499.991285
001975000250;987500.020381;124999.991769
001975000251;987500.017147;125499.993074
001975000252;987500.015076;125999.990015
001975000253;987500.016571;126499.987670
001975000254;987500.015881;126999.988769
001975000255;987500.011430;127499.991165
001975000256;987500.000000;128000.000000
001976000192;988000.000000;96000.000000
001976000193;987999.988496;96499.980565
001976000194;987999.984020;96999.975191
001976000195;987999.980698;97499.967269
001976000196;987999.978195;97999.959741
001976000197;987999.975123;98499.952171
001976000198;987999.971118;98999.943440
001976000199;987999.970324;99499.933894
001976000200;987999.973767;99999.925913
001976000201;987999.976454;100499.917946
001976000202;987999.982005;100999.914559
001976000203;987999.992963;101499.909227
001976000204;987999.999921;101999.902111
001976000205;987999.989731;102499.896227
001976000206;987999.981716;102999.915942
001976000207;987999.995633;103499.937969
001976000208;988000.009991;103999.950840
001976000209;988000.015265;104499.963464
001976000210;988000.015179;104999.974313
001976000211;988000.010987;105499.983285
001976000212;988000.009892;105999.988819
001976000213;988000.010603;106499.991085
001976000214;988000.007629;106999.996528
001976000215;988000.003087;107500.004386
001976000216;988000.000181;108000.011247
001976000217;987999.998367;108500.015912
001976000218;987999.996047;109000.019279
001976000219;987999.993857;109500.021643
001976000220;987999.993416;110000.021292
001976000221;987999.995023;110500.018665
001976000222;987999.998229;111000.015344
001976000223;988000.002374;111500.012691
