-5.5;41;-165.027;-67.1;315.813
-5.5;41.1;-165.169;-66.948;316.007
-5.5;41.2;-165.312;-66.796;316.2
-5.5;41.3;-165.456;-66.644;316.393
-5.5;41.4;-165.601;-66.492;316.586
-5.5;41.5;-165.746;-66.34;316.778
-5.5;41.6;-165.893;-66.187;316.97
-5.5;41.7;-166.04;-66.034;317.161
-5.5;41.8;-166.188;-65.882;317.353
-5.5;41.9;-166.338;-65.729;317.544
-5.5;42;-166.488;-65.575;317.735
-5.5;42.1;-166.639;-65.421;317.926
-5.5;42.2;-166.792;-65.267;318.117
-5.5;42.3;-166.945;-65.111;318.308
-5.5;42.4;-167.1;-64.956;318.499
-5.5;42.5;-167.256;-64.799;318.689
-5.5;42.6;-167.413;-64.641;318.88
-5.5;42.7;-167.571;-64.482;319.071
-5.5;42.8;-167.73;-64.322;319.262
-5.5;42.9;-167.89;-64.16;319.453
-5.5;43;-168.051;-63.996;319.644
-5.5;43.1;-168.213;-63.831;319.834
-5.5;43.2;-168.375;-63.663;320.024
-5.5;43.3;-168.538;-63.493;320.213
-5.5;43.4;-168.701;-63.321;320.401
-5.5;43.5;-168.863;-63.146;320.588
-5.5;43.6;-169.026;-62.969;320.773
-5.5;43.7;-169.187;-62.789;320.957
-5.5;43.8;-169.347;-62.606;321.138
-5.5;43.9;-169.506;-62.42;321.316
-5.5;44;-169.662;-62.231;321.491
-5.5;44.1;-169.815;-62.04;321.662
-5.5;44.2;-169.965;-61.846;321.829
-5.5;44.3;-170.11;-61.65;321.99
-5.5;44.4;-170.251;-61.451;322.146
-5.5;44.5;-170.386;-61.251;322.295
-5.5;44.6;-170.514;-61.05;322.436
-5.5;44.7;-170.636;-60.847;322.569
-5.5;44.8;-170.75;-60.645;322.694
-5.5;44.9;-170.855;-60.442;322.809
-5.5;45;-170.95;-60.241;322.914
-5.5;45.1;-171.036;-60.042;323.008
-5.5;45.2;-171.112;-59.845;323.091
-5.5;45.3;-171.177;-59.652;323.162
-5.5;45.4;-171.23;-59.463;323.222
-5.5;45.5;-171.273;-59.279;323.27
-5.5;45.6;-171.305;-59.101;323.306
-5.5;45.7;-171.325;-58.93;323.33
-5.5;45.8;-171.336;-58.767;323.344
-5.5;45.9;-171.336;-58.612;323.347
-5.5;46;-171.327;-58.465;323.34
-5.5;46.1;-171.309;-58.329;323.324
-5.5;46.2;-171.284;-58.202;323.3
-5.5;46.3;-171.252;-58.086;323.269
-5.5;46.4;-171.214;-57.981;323.231
-5.5;46.5;-171.172;-57.887;323.189
-5.5;46.6;-171.126;-57.805;323.142
-5.5;46.7;-171.078;-57.735;323.092
-5.5;46.8;-171.027;-57.678;323.039
-5.5;46.9;-170.975;-57.633;322.984
-5.5;47;-170.923;-57.601;322.928
-5.5;47.1;-170.871;-57.583;322.871
-5.5;47.2;-170.818;-57.578;322.813
-5.5;47.3;-170.766;-57.587;322.754
-5.5;47.4;-170.714;-57.61;322.695
-5.5;47.5;-170.663;-57.647;322.636
-5.5;47.6;-170.614;-57.697;322.577
-5.5;47.7;-170.566;-57.76;322.519
-5.5;47.8;-170.52;-57.836;322.463
-5.5;47.9;-170.478;-57.922;322.409
-5.5;48;-170.441;-58.017;322.358
-5.5;48.1;-170.407;-58.12;322.312
-5.5;48.2;-170.379;-58.229;322.269
-5.5;48.3;-170.357;-58.343;322.232
-5.5;48.4;-170.341;-58.46;322.199
-5.5;48.5;-170.331;-58.582;322.173
-5.5;48.6;-170.328;-58.706;322.152
-5.5;48.7;-170.333;-58.833;322.138
-5.5;48.8;-170.346;-58.961;322.131
-5.5;48.9;-170.366;-59.088;322.13
-5.5;49;-170.392;-59.212;322.135
-5.5;49.1;-170.422;-59.329;322.144
-5.5;49.2;-170.455;-59.438;322.155
-5.5;49.3;-170.488;-59.538;322.168
-5.5;49.4;-170.521;-59.626;322.182
-5.5;49.5;-170.552;-59.705;322.194
-5.5;49.6;-170.581;-59.772;322.205
-5.5;49.7;-170.606;-59.83;322.214
-5.5;49.8;-170.627;-59.878;322.22
