#pas_grille;100.000000
#nom_grille;grille_calage_Z256_100m_reduit
009945001218;994500.167063;121799.899493
009945001219;994500.161640;121899.892986
009945001220;994500.156216;121999.886478
009945001221;994500.139636;122099.879771
009945001222;994500.123056;122199.873063
009945001223;994500.106477;122299.866355
009945001224;994500.089897;122399.859647
009945001225;994500.073317;122499.852939
009946001218;994600.169283;121799.909653
009946001219;994600.164818;121899.907800
009946001220;994600.158292;121999.901445
009946001221;994600.143812;122099.897574
009946001222;994600.128035;122199.899214
009946001223;994600.113585;122299.895950
009946001224;994600.099019;122399.891488
009946001225;994600.083671;122499.886584
009947001218;994700.171502;121799.919813
009947001219;994700.166388;121899.922951
009947001220;994700.160677;121999.930277
009947001221;994700.138963;122099.920883
009947001222;994700.125741;122199.934853
009947001223;994700.119922;122299.929755
009947001224;994700.107472;122399.922743
009947001225;994700.094025;122499.920229
009948001218;994800.173722;121799.929973
009948001219;994800.167083;121899.938847
009948001220;994800.125851;121999.967041
009948001221;994800.120857;122099.988502
009948001222;994800.136145;122199.969110
009948001223;994800.130110;122299.956064
009948001224;994800.116059;122399.954110
009948001225;994800.104379;122499.953874
009949001218;994900.175942;121799.940132
009949001219;994900.173888;121899.952816
009949001220;994900.139278;121999.951119
009949001221;994900.123437;122099.999326
009949001222;994900.172663;122199.988636
009949001223;994900.130716;122299.987486
009949001224;994900.122801;122399.987431
009949001225;994900.114733;122499.987519
009950001218;995000.178161;121799.950292
009950001219;995000.176244;121899.966149
009950001220;995000.176707;121999.974345
009950001221;995000.123030;122099.995998
009950001222;995000.166540;122200.022083
009950001223;995000.112432;122300.048191
009950001224;995000.129494;122400.019439
009950001225;995000.125087;122500.021164
009951001218;995100.179851;121799.951713
009951001219;995100.175539;121899.967326
009951001220;995100.162485;121999.987410
009951001221;995100.127451;122100.004712
009951001222;995100.128742;122200.029106
009951001223;995100.116798;122300.051091
009951001224;995100.141516;122400.012917
009951001225;995100.136627;122500.012115
009952001218;995200.181541;121799.953133
009952001219;995200.177074;121899.966941
009952001220;995200.165141;121999.984231
009952001221;995200.149918;122099.989504
009952001222;995200.137453;122199.979802
009952001223;995200.148079;122299.998926
009952001224;995200.152720;122399.999613
009952001225;995200.148166;122500.003065
009953001218;995300.183231;121799.954553
009953001219;995300.179939;121899.965629
009953001220;995300.176636;121999.975286
009953001221;995300.172459;122099.978796
009953001222;995300.166902;122199.981713
009953001223;995300.166516;122299.986091
009953001224;995300.162376;122399.990246
009953001225;995300.159706;122499.994016
009954001218;995400.184920;121799.955974
009954001219;995400.183811;121899.963673
009954001220;995400.182702;121999.971371
009954001221;995400.180410;122099.974090
009954001222;995400.178119;122199.976809
009954001223;995400.175828;122299.979528
009954001224;995400.173537;122399.982247
009954001225;995400.171246;122499.984967
