!groupe;compo_nom;Nom;Alias;Type;graphique;multiple;Valeur par defaut;Obligatoire;Conformite;dimension;taille;decimales;nom court;fin;index;FK
pyetl;pl_etl_job;sortie;repertoire de sortie;texte;non;oui;;oui;;3;0;0;;fin;
pyetl;pl_etl_job;parametres;liste des parametres;texte;non;oui;;oui;;0;0;0;;fin;
pyetl;pl_etl_job;etat;attente / encours / fini;texte;non;oui;;oui;;0;0;0;;fin;
pyetl;pl_etl_job;duree;duree du batch;entier;non;oui;;oui;;3;0;0;;fin;
pyetl;pl_etl_job;etat;reussite;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_job;nb_entree;objets lus;entier;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_job;nb_sortie;objets ecrits;entier;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_job;nb_erreurs;nombre d erreurs;entier;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_listes; ;listes de parametres;NOGEOM;non;oui;table;non;3948;0;0;0;;fin;P:gid
pyetl;pl_etl_listes;gid;;serial;non;oui;;non;;0;0;0;;fin;P:1
pyetl;pl_etl_listes;nom;nom de la liste;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_listes;type;type de liste;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_listes;clef;clef ou niveau;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_listes;valeur;valeur ou classe;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_listes;complements;champs clef valeur;hstore;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_listes;commentaire;description;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_paramgroups;;;NOGEOM;non;oui;table;non;3948;0;0;0;;fin;P:gid
pyetl;pl_etl_paramgroups;gid;;serial;non;oui;;non;;0;0;0;;fin;P:1
pyetl;pl_etl_paramgroups;nom;nom de la liste;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_paramgroups;clef;nom du parametre;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_paramgroups;valeur;valeur;texte;non;oui;;non;;0;0;0;;fin;
pyetl;pl_etl_paramgroups;commentaire;commentaire;texte;non;oui;;non;;0;0;0;;fin;
