#comptage;.format_virtuels
#poubelle;.format_virtuels
#print;.format_virtuels
#store;.format_virtuels
asc;.format_asc
csv;.format_csv
csvj;.format_csv
dxf;.format_gdalio
geo;.format_csv
geojson;.format_json
gpkg;.format_gdalio
json;.format_json
mif;.format_gdalio
shp;.format_gdalio
sql;.format_csv
texte;.format_textfile
txt;.format_csv
xlsx;.format_excel
xml;.format_xml
